Timestamp,Frame,TriggerCount,CameraOK,EEG,EOG
94460.272284,,2,0,,
94460.282284,,2,0,,
94460.292284,,2,0,,
94460.302284,,2,0,,
94460.312284,,2,0,,
94460.322284,,2,0,,
94460.332284,,2,0,,
94460.342284,,2,0,,
94460.352284,,2,0,,
94460.362284,,2,0,,
94460.372284,,2,0,,
94460.382284,,2,0,,
94460.392284,,2,0,,
94460.402284,,2,0,,
94460.412284,,2,0,,
94460.422284,,2,0,,
94460.432284,,2,0,,
94460.442284,,2,0,,
94460.452284,,2,0,,
94460.462284,,2,0,,
94460.472284,,2,0,,
94460.482284,,2,0,,
94460.492284,,2,0,,
94460.502284,,2,0,,
94460.512284,,2,0,,
94460.522284,,2,0,,
94460.532284,,2,0,,
94460.542284,,2,0,,
94460.552284,,2,0,,
94460.562284,,2,0,,
94460.572284,,2,0,,
94460.582284,,2,0,,
94460.592284,,2,0,,
94460.602284,,2,0,,
94460.612284,,2,0,,
94460.622284,,2,0,,
94460.632284,,2,0,,
94460.642284,,2,0,,
94460.652284,,2,0,,
94460.662284,,2,0,,
94460.672284,,2,0,,
94460.682284,,2,0,,
94460.692284,,2,0,,
94460.702284,,2,0,,
94460.712284,,2,0,,
94460.722284,,2,0,,
94460.732284,,2,0,,
94460.742284,,2,0,,
94460.752284,,2,0,,
94460.762284,,2,0,,
94460.772284,,2,0,,
94460.782284,,2,0,,
94460.792284,,2,0,,
94460.802284,,2,0,,
94460.812284,,2,0,,
94460.822284,,2,0,,
94460.832284,,2,0,,
94460.842284,,2,0,,
94460.852284,,2,0,,
94460.862284,,2,0,,
94460.872284,,2,0,,
94460.882284,,2,0,,
94460.892284,,2,0,,
94460.902284,,2,0,,
94460.912284,,2,0,,
94460.922284,,2,0,,
94460.932284,,2,0,,
94460.942284,,2,0,,
94460.952284,,2,0,,
94460.962284,,2,0,,
94460.972284,,2,0,,
94460.982284,,2,0,,
94460.992284,,2,0,,
94461.002284,,2,0,,
94461.012284,,2,0,,
94461.022284,,2,0,,
94461.032284,,2,0,,
94461.042284,,2,0,,
94461.052284,,2,0,,
94461.062284,,2,0,,
94461.072284,,2,0,,
94461.082284,,2,0,,
94461.092284,,2,0,,
94461.102284,,2,0,,
94461.112284,,2,0,,
94461.122284,,2,0,,
94461.132284,,2,0,,
94461.142284,,2,0,,
94461.152284,,2,0,,
94461.162284,,2,0,,
94461.172284,,2,0,,
94461.182284,,2,0,,
94461.192284,,2,0,,
94461.202284,,2,0,,
94461.212284,,2,0,,
94461.222284,,2,0,,
94461.232284,,2,0,,
94461.242284,,2,0,,
94461.252284,,2,0,,
94461.262284,,2,0,,
94461.272284,,2,0,,
94461.282284,,2,0,,
94461.292284,,2,0,,
94461.302284,,2,0,,
94461.312284,,2,0,,
94461.322284,,2,0,,
94461.332284,,2,0,,
94461.342284,,2,0,,
94461.352284,,2,0,,
94461.362284,,2,0,,
94461.372284,,2,0,,
94461.382284,,2,0,,
94461.392284,,2,0,,
94461.402284,,2,0,,
94461.412284,,2,0,,
94461.422284,,2,0,,
94461.432284,,2,0,,
94461.442284,,2,0,,
94461.452284,,2,0,,
94461.462284,,2,0,,
94461.472284,,2,0,,
94461.482284,,2,0,,
94461.492284,,2,0,,
94461.502284,,2,0,,
94461.512284,,2,0,,
94461.522284,,2,0,,
94461.532284,,2,0,,
